Recettes,Ingrédients
Crème de chou-fleur au lait de coco et curry.html,"['250 g chou-fleur', '20 mL lait de coco', '1 pincée(s) curry']"
"Crème de fenouil et petits pois à l’aneth, maquereau.html","['150 g fenouil', '50 g petits pois', '1 c. à café huile(s) végétale(s)', '1 pincée aneth', '10 à 15 g maquereau']"
"Crème de fenouil à l’aneth, petits pois et maquereau.html","['150 g fenouil', '60 g petits pois', '1 c. à café huile(s) végétale(s)', '1 pincée aneth', '20 g maquereau']"
"Crème de petits pois et limande à la l’aneth, avocat.html","['100 g petits pois', '15 à 20 g limande', '2 pincée aneth', '½  avocat(s)', '1 c. à café huile(s) végétale(s)']"
Crème de poireaux au curry et quinoa.html,"['125 g poireau(x)', '10 g quinoa', '1 pincée curry', '1 c. à café crème']"
"Crème d’endive et pomme, semoule et saumon.html","['150 g endive(s)', '½  pomme(s)', '25 g semoule de couscous', '20 g saumon', '1 c. à café crème', ""1 c. à café huile d'olive""]"
Crème d’endives-avocat-pomme.html,"['150 g endive(s)', '½  avocat(s)', '½  pomme(s)', '½  citron(s)', ""1 c. à soupe huile d'olive""]"
Crêpe roulée aux courgettes et boeuf.html,"['30 g farine', ""1 c. à café huile d'olive"", '70 mL lait', '150 g courgette(s)', '20 g boeuf haché']"
Crêpe épinards sarrasin.html,"['50 g épinards', '50 g farine de sarrasin', '100 mL eau', '1 c. à café huile d’olive']"
Curry de carotte et courgette aux lentilles corail.html,"['100 g carotte(s)', '100 g courgette(s)', '20 g lentilles corail', '1 c. à soupe crème', '1 pincée curry']"
Curry de chou-fleur et patate douce.html,"['150 g chou-fleur', '120 g patate(s) douce(s)', '1 c. à café crème', '1 pincée curry']"
"Curry de chou-fleur, carottes et lieu jaune.html","['75 g chou-fleur', '75 g carotte(s)', '75 g pomme(s) de terre', '2  pruneau(x)', '20 g lieu jaune', '1 c. à café crème', '1 pincée(s) curry']"
"Curry de courgettes et pois chiches, riz.html","['20 g riz', '150 g courgette(s)', '20 g pois chiches', '20 mL lait de coco', '1 pincée(s) curry']"
Curry de courgettes et riz.html,"['20 g riz', '150 g courgette(s)', '20 mL lait de coco', '1 pincée(s) curry']"
"Curry de légumes et ananas, quinoa.html","['20 g quinoa', '75 g ananas', '75 g carotte(s)', '50 g brocoli', '20 mL lait de coco', '1 pincée(s) curry', '1 pincée(s) coriandre']"
Curry de légumes à l’ananas et quinoa.html,"['20 g quinoa', '60 g ananas', '60 g carotte(s)', '40 g brocoli', '20 mL lait de coco', '1 pincée(s) curry', '1 pincée(s) coriandre']"
Curry de poisson à l’ananas et riz.html,"['75 g ananas', '75 g carotte(s)', '20 g riz', '15 g poisson blanc', '20 mL lait de coco', '1 pincée(s) curry', '1 pincée(s) gingembre moulu', '1 pincée(s) coriandre']"
"Curry de poisson à l’ananas, riz.html","['75 g ananas', '100 g carotte(s)', '20 g riz', '20 g poisson blanc', '20 g lait de coco', '1 pincée(s) curry', '1 pincée(s) gingembre moulu', '1 pincée(s) coriandre']"
Curry de saumon aux carottes et petits pois.html,"['15 g saumon', '100 g carotte(s)', '70 g petits pois', '25 mL lait de coco', '1 pincée curry', '1 pincée coriandre', '1 c. à café huile(s) végétale(s)']"
Curry veggie aux légumes.html,"['15 g riz', '70 g carotte(s)', '70 g navet(s)', '½  oignon(s)', '½ gousse(s) ail', '25 mL lait de coco', '1 pincée(s) curry', '1 pincée(s) gingembre moulu']"
"Céleri-rave, sauté de dinde à la coriandre.html","['250 g céleri-rave', '20 g dinde', '1 pincée coriandre', '¼  oignon(s)', ""1 c. à café huile d'olive"", '1 c. à café huile(s) végétale(s)']"
"Dahl de lentilles corail au butternut et carotte, riz.html","['20 g riz', '20 g lentilles corail', '75 g butternut', '75 g carotte(s)', '1 c. à soupe lait de coco', '1 c. à café concentré de tomates', '1 pincée curry', '1 pincée coriandre']"
Dahl de lentilles corail aux carottes.html,"['20 g riz', '20 g lentilles corail', '80 g carotte(s)', '50 g coulis de tomates', '¼  oignon(s)', '1 pincée garam masala ', ""1 c. à café huile d'olive"", '1 c. à café crème fraîche']"
"Dinde et champignons à la béchamel, riz.html","['130 g champignons', '20 g riz', '20 g dinde', '½  oignon(s)', ""1 c. à café huile d'olive"", '1 c. à café farine', '50 mL lait', '1 pincée muscade moulue']"
Donuts à la betterave.html,"['150 g betterave(s)', '1 c. à soupe fécule de maïs', '2 c. à soupe farine', '1  fromage blanc', '1 c. à café poudre à lever', '  ciboulette']"
"Dorade au lait de coco, duo de patate douce et carotte.html","['100 g patate(s) douce(s)', '100 g carotte(s)', '15 g dorade', '15 mL lait de coco', '  coriandre']"
Duo de galettes polenta betterave carotte.html,"['50 g carotte(s)', '50 g betterave(s)', '30 g polenta', '1 c. à café fécule de maïs', '1 c. à café huile d’olive']"
"Duo de riz et quinoa, sauce tomates mozzarella au saumon.html","['10 g riz', '10 g quinoa', '150 g tomate(s)', '15 g mozzarella', '15 g saumon', '½ gousse(s) ail', '½  oignon(s)', '1 pincée(s) thym', '1 feuille(s) basilic', ""  huile d'olive""]"
"Duo de riz et quinoa, tomates mozzarella et saumon.html","['10 g riz', '10 g quinoa', '150 g tomate(s)', '20 g mozzarella', '20 g saumon', '½ gousse(s) ail', '½  oignon(s)', '1 pincée(s) thym', '1 feuille(s) basilic', ""  huile d'olive""]"
"Duo de rondelles de concombre vapeur et tomate, fromage frais.html","['100 g concombre', '100 g tomate(s)', '15 g fromage frais', '  basilic']"
Duo de rondelles de concombre vapeur et tomate.html,"['100 g concombre', '100 g tomate(s)', '1 c. à soupe huile d’olive', '  basilic']"
Duo de rondelles de courgette et concombre vapeur et sauce au fromage de brebis.html,"['80 g courgette(s)', '80 g concombre', '30 g fromage de brebis frais', '  ciboulette']"
Ecrasé de pommes de terre et chou chinois au jambon.html,"['75 g pomme(s) de terre', '120 g chou chinois', '20 g jambon blanc', '1 c. à café huile(s) végétale(s)']"
"Ecrasé de patate douce, cabillaud façon ceviche.html","['180 g patate(s) douce(s)', '15 g cabillaud', '2 pincée coriandre', '½  citron vert', '¼  oignon(s)', ""1 c. à café huile d'olive""]"
"Ecrasé de patate douce, fenouil citronné.html","['120 g patate(s) douce(s)', '130 g fenouil', '1 c. à café huile(s) végétale(s)', '½  citron(s)']"
"Ecrasé de patate douce, fenouil et merlan.html","['120 g patate(s) douce(s)', '130 g fenouil', '1 c. à café huile(s) végétale(s)', '½  citron(s)', '20 g merlan']"
"Ecrasé de patate douce, porc aux pruneaux.html","['150 g patate(s) douce(s)', '50 g pruneau(x)', '15 g porc', '1 c. à café huile(s) végétale(s)']"
"Ecrasé de patates douces, purée de fenouil au merlan.html","['100 g patate(s) douce(s)', '130 g fenouil', '½  citron(s)', '1 c. à café huile(s) végétale(s)', '15 g merlan']"
"Ecrasé de patates douces, purée de fenouil citronnée.html","['100 g patate(s) douce(s)', '130 g fenouil', '½  citron(s)', '1 c. à café huile(s) végétale(s)']"
"Ecrasé de pomme de terre, mousseline d’avocat et endives au saumon.html","['60 g pomme(s) de terre', '60 g avocat(s)', '100 g endive(s)', '15 g saumon', ""1 c. à café huile d'olive"", '½  citron(s)']"
Ecrasé de potimarron au canard.html,"['150 g potimarron', '75 g pomme(s) de terre', '15 g canard', '1 c. à café huile(s) végétale(s)']"
Ecrasé de potimarron et champignons à la crème.html,"['200 g potimarron', '125 g champignons', '1 c. à café crème']"
Ecrasé de topinambour fondant au romarin.html,"['280 g topinambour(s)', '1 c. à café huile(s) végétale(s)', ' pincée romarin']"
Egrainé de quinoa et carottes à la truite.html,"['180 g carotte(s)', '15 g quinoa', '1 c. à café huile(s) végétale(s)', '15 g truite']"
Endives au jambon sur lit de patate douce.html,"['120 g patate(s) douce(s)', '200 g endive(s)', '1 c. à café crème fraîche', '20 g jambon blanc']"
Falafels au chou kale et sa petite sauce citronnée.html,"['200 g pois chiches', '75 g chou kale', '¼  oignon', '2 c. à café huile d’olive', '2 pincée(s) cumin', '100 g fromage blanc', '½  citron(s)', '  herbes aromatiques']"
Falafels au fenouil citronnés.html,"['100 g fenouil', '150 g pois chiches', '¼  oignon(s)', '1 c. à café jus de citron', '  persil', '¼ c. à café cumin']"
Falafels au four (pour bébé et toute la famille).html,"['400 g pois chiches', '1  oignon(s)', '1 c. à café cumin', '2 c. à soupe farine', '  coriandre', '  huile d’olive']"
Falafels de patate douce.html,"['200 g patate(s) douce(s)', '200 g pois chiches', '½  oignon(s)', '½ c. à café cumin', '  herbes aromatiques', '  huile d’olive']"
Falafels tomate saumon.html,"['150 g pois chiches', '50 g pulpe de tomates', '30 g saumon', '  basilic', '  chapelure', '  poivre']"
Fausses lasagnes au chou vert.html,"['150 g chou vert', '50 g pomme(s) de terre', '50 g carotte(s)', '20 g boeuf', '1 c. à café huile(s) végétale(s)', '  bicarbonate de soude alimentaire']"
"Filet mignon et haricots verts, polenta crémeuse.html","['15 g polenta', '120 g haricots verts', '20 g filet mignon', '1 c. à café crème fraîche']"
Flan crémeux au pâtisson.html,"['1 kg pâtisson(s)', '1  oeuf(s)', '100 g farine', ""2 c. à soupe huile d'olive"", '  épices']"
Flan de carottes au cumin.html,"['300 g carotte(s)', '½  oeuf(s)', '15 g fécule de maïs', '1 c. à soupe yaourt', '1 pincée cumin', ""1 c. à café huile d'olive""]"
Flans carottes maïs et sardine.html,"['150 g carotte(s)', '50 g maïs', '20 g sardine', '1  oeuf(s)', '1 c. à soupe crème fraîche', '1 c. à soupe farine', '  persil']"
Flans carottes maïs.html,"['150 g carotte(s)', '50 g maïs', '1 c. à soupe  crème fraîche', '1 c. à soupe farine', '  ciboulette', '1  oeuf(s)']"
Flans de blettes au chèvre et quinoa.html,"['200 g blettes', '25 g quinoa', '40 g fromage de chèvre', '1  oeuf(s)', '20 g fécule de maïs', '  jus de citron']"
Flans de carottes au lait de coco.html,"['125 g carotte(s)', '50 mL lait de coco', '1  oeuf(s)', '  noix de coco râpée']"
Flans à la ratatouille.html,"['50 g tomate(s)', '50 g courgette(s)', '50 g aubergine(s)', '50 g poivron(s) rouge(s)', '¼  oignon(s)', '1 c. à café huile d’olive', '1  oeuf(s)', '20 g fécule de maïs', '  basilic', '  poivre']"
Flans à la roquette et au poulet.html,"['50 g roquette', '50 g pomme(s) de terre', '50 g courgette(s)', '1 c. à soupe  crème fraîche', '1 c. à soupe farine', '1  oeuf(s)', '  basilic', '30 g blanc de poulet']"
Fleurettes de brocoli et fromage blanc au basilic.html,"['200 g brocoli', '30 g fromage blanc', '  basilic']"
Fleurettes de brocoli et truite en morceau.html,"['200 g brocoli', '10 g truite', '  persil']"
Fleurettes de brocoli sauce au fromage blanc et herbes de Provence.html,"['150 g brocoli', '30 g fromage blanc', '½ c. à café herbes de Provence']"
Fleurettes de brocolis et sa sauce au parmesan.html,"['150 g brocoli', '20 g fromage blanc', '10 g parmesan']"
Fonds d’artichaud gratinés au parmesan.html,"['4  artichaut(s)', '30 mL crème entière', '15 g parmesan', '1 pincée muscade moulue', '  ciboulette']"
Fonds d’artichaut et pomme de terre.html,"['2  artichaut(s)', '100 g pomme(s) de terre', '1 c. à café huile(s) végétale(s)', '1  citron(s)']"
Fondue de courgettes et petites pâtes à l’emmental.html,"['180 g courgette(s)', '1 c. à café crème', '20 g pâtes', '5 g fromage râpé']"
"Fondue de poireau et cabillaud, boulgour.html","['130 g poireau(x)', '30 g boulgour', '20 g cabillaud', '½  citron(s)', '1 c. à café huile(s) végétale(s)']"
Fondue de poireaux au riz et maquereau.html,"['20 g riz', '125 g poireau(x)', '1 c. à café crème', '15 g maquereau', '½  citron(s)']"
"Fraîcheur de melon, concombre et menthe à la crevette.html","['100 g concombre', '100 g melon', ""1 c. à café huile d'olive"", '1 feuilles menthe', '2  crevette(s)']"
Frites de butternut au curry.html,"['300 g butternut', '2 c. à soupe huile d’olive', '1 c. à café fécule de maïs', '1 c. à café curry']"
Frites de carotte.html,"['200 g carotte(s)', '1 c. à café huile(s) végétale(s)', '1 c. à café farine', '¼ c. à café paprika']"
Frites de carottes et sauce au cumin.html,"['200 g carotte(s)', '1  petit-suisse', '1 c. à café huile(s) végétale(s)', '1 c. à café farine', '1 pincée cumin', '1 pincée paprika']"
Frites de patate douce et boulettes de merlan et fenouil.html,"['100 g patate(s) douce(s)', '1 c. à café huile d’olive', '1 pincée(s) paprika', '1 c. à café farine', '90 g fenouil', '10 g merlan', '20 g farine', '1 c. à soupe huile d’olive', '2 brin(s) ciboulette', '  chapelure']"
Frites de patate douce et coulis de tomate au boeuf.html,"['150 g patate(s) douce(s)', '50 g coulis de tomates', '10 g boeuf haché', '1 c. à café huile(s) végétale(s)', '1 c. à café farine', '1 pincée cumin']"
Frites de patate douce et crème de pruneaux.html,"['100 g patate(s) douce(s)', '50 g pruneau(x)', '1 c. à café farine', '1 c. à café huile(s) végétale(s)', '1 pincée(s) paprika']"
Frites de patate douce et ketchup maison.html,"['120 g patate(s) douce(s)', '30 g coulis de tomates', '1 c. à café farine', '1 c. à café huile(s) végétale(s)', '½ c. à café fécule de maïs', '2 pincée(s) paprika', '1 pincée cannelle']"
"Frites de patate douce, houmous de betterave.html","['100 g patate(s) douce(s)', '50 g betterave(s)', '50 g pois chiches', '  huile d’olive', '  épices', '½  citron(s)']"
Frites de patates douces et carottes.html,"['100 g carotte(s)', '100 g patate(s) douce(s)', '1 c. à soupe huile d’olive', '1 c. à soupe farine', '  épices', '1  petit-suisse', '  ciboulette']"
Galets de panais à la semoule.html,"['120 g panais', '50 g semoule de couscous', ""1 c. à café huile d'olive""]"
Galette au jambon et champignons.html,"['100 g champignons', '20 g jambon blanc', ""1 c. à soupe huile d'olive"", '1 c. à café farine', '20 g farine de sarrasin', '50 mL lait', '1 pincée muscade moulue']"
Galette monstrueuse à la citrouille.html,"['200 g purée de citrouille', '1  oeuf(s)', '50 g farine', '1 c. à soupe huile d’olive', '1 pincée(s) curry', '2 fleurettes brocoli', '  fromage à pâte dure']"
"Galette roulée, mouliné de champignons et jambon.html","['100 g champignons', '15 g jambon blanc', ""1 c. à soupe huile d'olive"", '1 c. à café farine', '20 g farine de sarrasin', '50 mL lait', '1 pincée muscade moulue']"
Galettes au chou vert.html,"['120 g chou vert', '75 g pomme(s) de terre', '2 c. à soupe farine', '  huile d’olive']"
Galettes aux champignons.html,"['125 g champignons', '50 g carotte(s)', '35 g farine de sarrasin', '35 mL lait', '1 c. à café huile(s) végétale(s)', '  persil']"
"Galettes aux endives, pomme et avoine.html","['150 g endive(s)', '50 g compote de pommes', ""50 g flocons d'avoine"", '2 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes aux flocons d’avoine et aux carottes et houmous de poivron rouge.html,"['½  oeuf(s)', '150 g carotte(s)', ""50 g flocons d'avoine"", '50 mL lait', '1 filet huile d’olive', '100 g pois chiches', '1  poivron(s) rouge(s)', '  basilic', '1 pincée(s) ail semoule']"
Galettes aux légumes d’été.html,"['75 g poivron(s) rouge(s)', ""60 g farine d'avoine"", '50 g haricots verts', '30 g maïs', '1 c. à café huile(s) végétale(s)', '  basilic']"
"Galettes aux épinards, patate douce et lotte.html","['90 g patate(s) douce(s)', ""90 g pousses d'épinards"", '20 g farine', '10 g lotte', '1 c. à café huile d’olive', '  basilic']"
Galettes champêtres au jambon.html,"['125 g champignons', '50 g pomme(s) de terre', '35 g farine de sarrasin', '35 mL lait', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes champêtres.html,"['125 g champignons', '50 g pomme(s) de terre', '20 g farine de riz', '15 g farine de sarrasin', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de betterave épinards et sarrasin.html,"['100 g betterave(s)', '50 g épinards', '50 g farine de sarrasin', '1 c. à café huile(s) végétale(s)', '  coriandre']"
Galettes de blettes et carottes au quinoa.html,"['100 g blettes', '80 g carotte(s)', '25 g quinoa', '2 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de blé simplissimes (pour tortillas et wraps).html,"['100 g farine', '10 g huile(s) végétale(s)', '50 mL eau chaude']"
Galettes de brocoli et carotte.html,"['130 g brocoli', '100 g carotte(s)', '30 g farine', '20 g fromage frais', '20 g fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de butternut au quinoa.html,"['100 g butternut', '25 g quinoa', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de butternut au saumon.html,"['150 g butternut', '40 g farine', '10 g saumon', '1 c. à café huile(s) végétale(s)', '  coriandre']"
"Galettes de carotte, céleri, pommes de terre et fromage frais.html","['50 g pomme(s) de terre', '50 g carotte(s)', '50 g céleri-branche', '20 g farine de maïs', '1 c. à café huile(s) végétale(s)', '  ciboulette', '20 g fromage frais']"
Galettes de carottes au maïs et cumin.html,"['130 g carotte(s)', '50 mL lait', '40 g farine de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Galettes de carottes au maïs et lanières d’omelette.html,"['130 g carotte(s)', '50 mL lait', '40 g farine de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée cumin', '1  oeuf(s)']"
Galettes de carottes au quinoa.html,"['100 g carotte(s)', '25 g quinoa', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de carottes et potiron au quinoa et fromage frais.html,"['80 g carotte(s)', '80 g potiron', '30 g quinoa', '15 g fromage frais', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
"Galettes de carottes, courgettes et petits pois à l’avoine.html","['50 g carotte(s)', '50 g courgette(s)', '25 g petits pois', ""50 g flocons d'avoine"", '1 c. à café huile(s) végétale(s)']"
Galettes de courge butternut au quinoa.html,"['250 g butternut', '25 g quinoa', '1  oeuf(s)', '1 c. à soupe fécule de maïs', ""1 c. à soupe huile d'olive""]"
Galettes de courgettes et petits pois.html,"['100 g petits pois', '50 g courgette(s)', ""50 g farine d'épeautre"", '1 c. à café huile(s) végétale(s)', '  menthe']"
Galettes de céleri-rave et boulettes de poisson au topinambour.html,"['100 g céleri-rave', '50 g pomme(s) de terre', '30 g farine', ""1 c. à café huile d'olive"", '25 g poisson', '50 g topinambour(s)', '1 pincée persil']"
Galettes de haricots verts à l’avoine.html,"['150 g haricots verts', '50 g pomme(s) de terre', ""30 g flocons d'avoine"", '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  ciboulette']"
Galettes de haricots verts.html,"['150 g haricots verts', '50 g pomme(s) de terre', ""50 g farine d'avoine"", '10 g fécule de maïs', '1 c. à soupe huile(s) végétale(s)', '  basilic']"
Galettes de légumes printaniers.html,"['50 g concombre', '50 g carotte(s)', '50 g pomme(s) de terre', ""40 g farine d'épeautre"", '1 c. à café huile(s) végétale(s)']"
Galettes de légumes racines.html,"['50 g topinambour(s)', '50 g rutabaga(s)', '40 mL lait', '30 g farine de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de légumes à l’avoine (petits poissons).html,"['100 g flocons d’avoine', '120 g carotte(s)', '120 g navet(s)', '20 g oignon(s)', '1 pincée(s) graines', '1 pincée(s) herbes aromatiques', '1 c. à soupe huile d’olive']"
Galettes de légumes.html,"['60 g farine', '60 g carotte(s)', '50 g tomate(s)', '50 g courgette(s)', '40 g navet(s)', '1 c. à café huile(s) végétale(s)', '1 pincée(s) ras el hanout', '  coriandre']"
Galettes de millet aux carottes et fromage frais.html,"['100 g carotte(s)', '25 g millet', '20 g fromage frais', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Galettes de millet aux poireaux et colin.html,"['100 g blanc(s) de poireau', '25 g millet', '10 g colin', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de millet aux poireaux.html,"['100 g blanc(s) de poireau', '25 g millet', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de millet et carottes au cumin.html,"['50 g millet', '150 g carotte(s)', '1 c. à soupe fécule de maïs', '1 c. à café cumin']"
Galettes de navet au quinoa et fromage frais.html,"['100 g navet(s)', '25 g quinoa', '10 g fromage frais', '1 c. à soupe fécule de maïs', '1 c. à café huile d’olive']"
Galettes de navet.html,"['80 g navet(s)', '50 g pomme(s) de terre', '50 mL lait', '40 g farine', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs', '  persil']"
Galettes de panais au fromage.html,"['150 g panais', '30 g farine', '10 g fromage râpé', ""1 c. à café huile d'olive""]"
Galettes de panais à la semoule et au jambon.html,"['120 g panais', '50 g semoule de couscous', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs']"
Galettes de panais à la semoule.html,"['120 g panais', '50 g semoule de couscous', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs']"
Galettes de patate douce brocoli et fromage frais.html,"['130 g brocoli', '100 g patate(s) douce(s)', '30 g fécule de maïs', '20 g fromage frais', '1 c. à café huile(s) végétale(s)']"
Galettes de patate douce et compotée de figues.html,"['100 g patate douce', '60 g figue(s)', '40 g farine', '5 g beurre']"
Galettes de patate douce et haricots verts au jambon.html,"['100 g patate(s) douce(s)', '100 g haricots verts', ""40 g farine d'avoine"", '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '1 pincée paprika']"
Galettes de patate douce et haricots verts.html,"['100 g patate(s) douce(s)', '100 g haricots verts', ""40 g farine d'avoine"", '1 c. à café huile(s) végétale(s)', '1 pincée paprika']"
"Galettes de patate douce, haricots verts et merlan.html","['150 g patate(s) douce(s)', '50 g haricots verts', '10 g  merlan', '4 c. à soupe farine', '¼ c. à café  paprika', '  huile d’olive']"
Galettes de patates douces abricots et sauge.html,"['100 g patate(s) douce(s)', '100 g abricot(s)', '50 g farine de riz', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '1 feuille(s) sauge']"
Galettes de petits pois carottes au cabillaud.html,"['60 g petits pois', ""60 g farine d'épeautre"", '50 g carotte(s)', '50 mL lait', '10 g cabillaud', '1 c. à café huile(s) végétale(s)', '1 pincée thym']"
Galettes de petits pois carottes.html,"['60 g petits pois', '60 g farine', '50 g carotte(s)', '50 mL lait', '1 c. à café huile(s) végétale(s)', '1 pincée thym']"
Galettes de petits pois à l’aneth.html,"['100 g petits pois', '50 mL lait', '40 g farine de riz', '1 c. à café huile(s) végétale(s)', '  aneth']"
Galettes de petits pois.html,"['100 g petits pois', '50 mL lait', '40 g farine de riz', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs']"
Galettes de poireaux avoine et jambon.html,"['150 g blanc(s) de poireau', ""50 g flocons d'avoine"", '20 mL lait', '10 g jambon blanc', '2 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de poireaux et pommes de terre.html,"['80 g blanc(s) de poireau', '50 g pomme(s) de terre', '40 g farine de pois chiches', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs']"
Galettes de poireaux et riz au jambon.html,"['150 g blanc(s) de poireau', '20 g riz', '2 c. à café fécule de maïs', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)']"
Galettes de poireaux et riz.html,"['150 g blanc(s) de poireau', '20 g riz', '2 c. à café fécule de maïs', '1 c. à café huile d’olive']"
Galettes de poireaux à l’avoine et au saumon.html,"['150 g blanc(s) de poireau', ""50 g flocons d'avoine"", '20 mL lait', '10 g saumon', '2 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de poireaux à l’avoine.html,"['150 g blanc(s) de poireau', ""50 g flocons d'avoine"", '20 mL lait', '2 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
"Galettes de poireaux, pommes de terre et poisson.html","['80 g blanc(s) de poireau', '50 g pomme(s) de terre', '40 g farine de pois chiches', '10 g poisson', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs']"
Galettes de poivron rouge à l’avoine.html,"['150 g poivron(s) rouge(s)', ""50 g flocons d'avoine"", '2 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de pommes de terre et tomates au boeuf.html,"['100 g tomates cerises', '50 g pomme(s) de terre', '25 g farine de maïs', '1 c. à soupe fécule de maïs', '10 g boeuf haché', '1 c. à café huile(s) végétale(s)', '  basilic']"
Galettes de pommes de terre et tomates.html,"['100 g tomates cerises', '50 g pomme(s) de terre', '25 g farine de maïs', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  basilic']"
Galettes de pommes de terre tomate et poivron.html,"['100 g pomme(s) de terre', '50 g tomate(s)', '50 g poivron(s) rouge(s)', '50 g farine', '1 c. à café huile(s) végétale(s)']"
Galettes de pommes de terre tomate et poulet.html,"['60 g farine', '50 g pomme(s) de terre', '50 g pulpe de tomates', '50 mL lait', '20 g poulet', '1 c. à café huile(s) végétale(s)', '  basilic']"
Galettes de potimarron au curcuma.html,"['100 g potimarron', '40 mL lait', '30 g farine de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée(s) curcuma']"
Galettes de potimarron au curry.html,"['150 g potimarron', '60 g farine de khorasan', '50 mL lait', '1 c. à café huile(s) végétale(s)', '1 pincée(s) curry', '  coriandre']"
Galettes de potimarron au quinoa.html,"['100 g potimarron', '25 g quinoa', '1 c. à soupe fécule de maïs', '1 c. à café huile d’olive']"
Galettes de potimarron aux noisettes.html,"['150 g potimarron', '60 g farine de khorasan', '50 mL lait', '1 c. à soupe noisettes en poudre', '1 c. à café huile(s) végétale(s)', '  coriandre']"
Galettes de potimarron et champignons et fromage frais.html,"['100 g potimarron', '50 g champignons de Paris', '30 g farine de sarrasin', '30 g farine de riz', '50 mL lait', '15 g fromage frais', '1 c. à café huile(s) végétale(s)', '  persil']"
Galettes de potiron au maïs.html,"['100 g potiron', '40 mL lait', '30 g farine de maïs', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs', '1 pincée curcuma']"
Galettes de potiron avoine et boeuf.html,"['100 g potiron', '40 mL lait', ""30 g farine d'avoine"", '10 g boeuf haché', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs', '1 pincée cumin']"
Galettes de potiron à l’avoine.html,"['100 g potiron', '40 mL lait', ""30 g farine d'avoine"", '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs', '1 pincée cumin']"
Galettes de quinoa aux courgettes et haricots verts.html,"['50 g courgette(s)', '50 g haricots verts', '25 g quinoa', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de riz aux courgettes brocoli.html,"['75 g brocoli', '75 g courgette(s)', '20 g riz', '3 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de riz aux radis roses.html,"['150 g radis rose', '20 g riz', '3 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de semoule au poulet et aux carottes.html,"['150 g carotte(s)', '50 g semoule de couscous', '10 g poulet', '1 c. à café huile d’olive']"
Galettes de semoule aux légumes d’automne.html,"['50 g semoule de couscous', '25 g butternut', '25 g poireau(x)', '25 g navet(s)', '1 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes de semoule aux légumes pour bébé (et grands).html,"['50 g semoule de couscous', '50 g purée de carottes', '50 g purée de poireaux', '1 c. à soupe huile(s) végétale(s)', '50 mL eau']"
Galettes de semoule aux poireaux.html,"['120 g poireau(x)', '50 g semoule de couscous', ""1 c. à soupe huile d'olive""]"
Galettes de semoule et potimarron.html,"['100 g potimarron', '50 g semoule de couscous', '20 g farine', '1 c. à café huile(s) végétale(s)', '  coriandre']"
Galettes de songe et brèdes.html,"['200 g songe(s)', '100 g feuilles de brèdes triées', '1 c. à soupe huile d’olive']"
